Index,Nombre,ISO3,ISO2,Año,Tipo,Pob Total (k),Densidad (xkm2),Sexo (h x 100 m),Mediana Edad,Cambio Natural (x1000),Natalidad (x1000),Nacimientos por mujer,Mediana edad alumbramiento,Mortalidad (x1000),Esperanza Vida al nacer,Mortalidad <5 (x1000 nac),Migracion(x1000),Mortalidad <40 (x1000 nac),Mortalidad <60 (x1000 nac)
1,WORLD,,,1950,World,2499322.157,19.166,99.314,22.224,17.319,36.837,4.86,28.945,19.518,46.464,224.01,0.0,371.993,540.385
2,WORLD,,,1951,World,2543130.38,19.502,99.358,22.172,17.427,36.502,4.827,28.91,19.075,47.144,219.119,0.0,361.818,529.155
3,WORLD,,,1952,World,2590270.899,19.864,99.425,22.108,19.283,37.672,5.014,28.98,18.389,48.231,212.198,0.0,347.27,512.159
4,WORLD,,,1953,World,2640278.797,20.247,99.474,22.036,18.959,36.948,4.937,28.928,17.989,48.802,206.944,0.0,339.968,502.932
5,WORLD,,,1954,World,2691979.339,20.643,99.545,21.952,19.812,37.269,5.01,28.943,17.457,49.592,202.18,0.0,330.132,490.994
6,WORLD,,,1955,World,2746072.141,21.058,99.616,21.845,19.968,37.069,5.012,28.927,17.101,50.123,197.276,0.0,323.123,483.348
7,WORLD,,,1956,World,2801002.631,21.48,99.673,21.742,19.643,36.353,4.939,28.872,16.71,50.642,192.428,0.0,316.089,475.641
8,WORLD,,,1957,World,2857866.857,21.916,99.724,21.634,20.537,37.073,5.076,28.912,16.536,50.945,189.081,0.0,311.698,471.695
9,WORLD,,,1958,World,2916108.097,22.362,99.792,21.532,19.814,35.858,4.935,28.816,16.044,51.537,184.532,0.0,305.162,463.421
10,WORLD,,,1959,World,2970292.188,22.778,99.844,21.478,17.036,34.32,4.741,28.68,17.284,49.345,203.915,0.0,332.853,494.728
11,WORLD,,,1960,World,3019233.434,23.153,99.858,21.461,15.663,33.871,4.695,28.63,18.208,47.697,217.396,0.0,354.348,518.653
12,WORLD,,,1961,World,3068370.609,23.53,99.867,21.448,16.617,32.914,4.574,28.522,16.297,50.359,193.991,0.0,320.898,481.441
13,WORLD,,,1962,World,3126686.743,23.977,99.895,21.371,20.982,35.814,5.03,28.732,14.832,53.124,170.771,0.0,285.134,441.288
14,WORLD,,,1963,World,3195779.247,24.507,99.944,21.204,22.689,37.477,5.317,28.818,14.788,53.576,166.552,0.0,279.778,435.247
15,WORLD,,,1964,World,3267212.338,25.055,99.994,21.008,21.528,35.936,5.133,28.767,14.408,54.164,162.524,0.0,273.543,427.27
16,WORLD,,,1965,World,3337111.983,25.591,100.026,20.815,20.818,35.34,5.081,28.789,14.522,53.892,163.387,0.0,277.19,431.685
17,WORLD,,,1966,World,3406417.036,26.122,100.043,20.633,20.298,34.403,4.963,28.777,14.105,54.472,160.131,0.0,270.022,422.595
18,WORLD,,,1967,World,3475448.166,26.652,100.056,20.491,19.832,33.619,4.856,28.736,13.787,54.92,157.257,0.0,264.165,415.732
19,WORLD,,,1968,World,3546810.808,27.199,100.08,20.401,20.803,34.318,4.963,28.78,13.515,55.486,152.314,0.0,256.167,407.022
20,WORLD,,,1969,World,3620655.275,27.765,100.12,20.343,20.407,33.729,4.867,28.752,13.322,55.829,149.543,0.0,251.386,401.853
21,WORLD,,,1970,World,3695390.336,28.338,100.161,20.32,20.451,33.583,4.828,28.714,13.132,56.112,147.36,0.0,248.823,398.03
22,WORLD,,,1971,World,3770163.092,28.912,100.199,20.332,19.619,32.797,4.682,28.629,13.178,55.892,146.701,0.0,253.37,403.772
23,WORLD,,,1972,World,3844800.885,29.484,100.252,20.379,19.589,32.064,4.547,28.593,12.475,57.123,140.763,0.0,237.462,383.459
24,WORLD,,,1973,World,3920251.504,30.063,100.315,20.457,19.282,31.445,4.421,28.512,12.163,57.633,137.765,0.0,231.871,375.675
25,WORLD,,,1974,World,3995517.077,30.64,100.373,20.562,18.757,30.645,4.265,28.415,11.888,58.042,135.487,0.0,227.777,369.908
26,WORLD,,,1975,World,4069437.231,31.207,100.417,20.692,17.916,29.613,4.084,28.373,11.697,58.275,133.471,0.0,225.734,366.982
27,WORLD,,,1976,World,4142505.882,31.767,100.442,20.84,17.681,29.125,3.977,28.306,11.444,58.711,130.07,0.0,220.991,360.594
28,WORLD,,,1977,World,4215772.49,32.329,100.463,21.007,17.387,28.476,3.852,28.25,11.089,59.365,126.951,0.0,213.307,350.586
29,WORLD,,,1978,World,4289657.708,32.895,100.483,21.177,17.361,28.284,3.79,28.187,10.923,59.74,124.092,0.0,208.623,344.768
30,WORLD,,,1979,World,4365582.871,33.478,100.495,21.345,17.72,28.465,3.776,28.091,10.745,60.204,120.672,0.0,203.192,338.124
31,WORLD,,,1980,World,4444007.706,34.079,100.523,21.505,17.881,28.527,3.75,28.021,10.646,60.552,117.456,0.0,198.44,332.691
32,WORLD,,,1981,World,4524627.658,34.697,100.561,21.642,18.069,28.541,3.716,27.92,10.472,60.992,114.173,0.0,193.837,326.631
33,WORLD,,,1982,World,4607984.871,35.336,100.581,21.741,18.432,28.752,3.713,27.847,10.32,61.416,110.894,0.0,189.314,320.799
34,WORLD,,,1983,World,4691884.238,35.98,100.587,21.826,17.66,27.92,3.578,27.813,10.26,61.565,110.113,0.0,187.519,318.161
35,WORLD,,,1984,World,4775836.074,36.624,100.591,21.916,17.807,27.928,3.552,27.761,10.121,61.907,107.704,0.0,184.086,313.72
36,WORLD,,,1985,World,4861730.613,37.282,100.594,22.04,17.838,27.851,3.515,27.699,10.013,62.236,105.176,0.0,180.341,308.71
37,WORLD,,,1986,World,4950063.339,37.96,100.617,22.224,18.164,27.958,3.505,27.644,9.794,62.767,102.021,0.0,175.452,301.442
38,WORLD,,,1987,World,5040984.495,38.657,100.659,22.417,18.23,27.877,3.48,27.649,9.647,63.158,98.803,0.0,171.729,296.867
39,WORLD,,,1988,World,5132293.974,39.357,100.699,22.604,17.675,27.278,3.391,27.604,9.603,63.281,98.191,0.0,170.79,295.165
40,WORLD,,,1989,World,5223704.308,40.058,100.745,22.783,17.632,27.024,3.346,27.539,9.392,63.792,94.717,0.0,165.156,288.295
41,WORLD,,,1990,World,5316175.862,40.767,100.794,22.96,17.461,26.794,3.308,27.475,9.333,63.988,92.829,0.0,163.128,285.926
42,WORLD,,,1991,World,5406245.867,41.458,100.842,23.144,16.155,25.421,3.127,27.343,9.266,64.058,92.634,0.0,162.705,285.004
43,WORLD,,,1992,World,5492686.093,42.121,100.879,23.353,15.581,24.718,3.041,27.312,9.137,64.303,91.178,0.0,160.742,282.272
44,WORLD,,,1993,World,5577433.523,42.771,100.904,23.575,15.048,24.151,2.976,27.304,9.103,64.437,89.364,0.0,158.675,280.559
45,WORLD,,,1994,World,5660727.993,43.409,100.928,23.81,14.604,23.706,2.926,27.27,9.102,64.459,87.848,0.0,159.339,282.165
46,WORLD,,,1995,World,5743219.454,44.042,100.95,24.051,14.334,23.276,2.878,27.223,8.942,64.877,86.395,0.0,154.485,275.331
47,WORLD,,,1996,World,5825145.298,44.67,100.97,24.293,13.997,22.842,2.833,27.227,8.845,65.143,84.742,0.0,152.422,271.933
48,WORLD,,,1997,World,5906481.261,45.294,100.998,24.534,13.737,22.45,2.794,27.254,8.713,65.501,82.797,0.0,149.587,267.26
49,WORLD,,,1998,World,5987312.48,45.914,101.028,24.777,13.45,22.095,2.758,27.25,8.645,65.722,81.359,0.0,148.561,264.889
50,WORLD,,,1999,World,6067758.458,46.531,101.057,25.018,13.245,21.814,2.73,27.285,8.569,66.073,78.325,0.0,144.257,260.013
51,WORLD,,,2000,World,6148898.975,47.153,101.089,25.25,13.321,21.793,2.734,27.317,8.472,66.453,75.578,0.0,140.458,255.384
52,WORLD,,,2001,World,6230746.982,47.781,101.113,25.47,13.126,21.487,2.7,27.332,8.361,66.834,73.13,0.0,137.4,251.095
53,WORLD,,,2002,World,6312407.36,48.407,101.126,25.679,12.917,21.231,2.672,27.368,8.314,67.137,70.596,0.0,134.189,246.999
54,WORLD,,,2003,World,6393898.365,49.032,101.138,25.882,12.737,21.004,2.647,27.392,8.267,67.46,67.83,0.0,130.799,242.841
55,WORLD,,,2004,World,6475751.478,49.659,101.149,26.08,12.702,20.881,2.636,27.458,8.179,67.807,65.5,0.0,128.394,239.322
56,WORLD,,,2005,World,6558176.119,50.291,101.162,26.273,12.592,20.706,2.619,27.556,8.114,68.205,62.729,0.0,124.106,233.704
57,WORLD,,,2006,World,6641416.218,50.93,101.181,26.47,12.631,20.613,2.612,27.629,7.982,68.703,60.009,0.0,119.832,227.547
58,WORLD,,,2007,World,6725948.544,51.578,101.205,26.675,12.662,20.599,2.612,27.662,7.937,69.051,57.526,0.0,116.386,223.047
59,WORLD,,,2008,World,6811597.272,52.235,101.226,26.886,12.643,20.575,2.613,27.69,7.932,69.301,55.392,0.0,113.994,220.258
60,WORLD,,,2009,World,6898305.908,52.9,101.239,27.102,12.653,20.468,2.605,27.726,7.815,69.796,52.906,0.0,109.418,213.89
61,WORLD,,,2010,World,6985603.105,53.569,101.245,27.327,12.497,20.274,2.587,27.728,7.777,70.109,51.068,0.0,106.586,209.895
62,WORLD,,,2011,World,7073125.425,54.24,101.254,27.554,12.404,20.094,2.573,27.741,7.69,70.53,49.042,0.0,102.753,204.681
63,WORLD,,,2012,World,7161697.921,54.92,101.269,27.775,12.482,20.132,2.59,27.759,7.65,70.873,47.074,0.0,99.673,200.544
64,WORLD,,,2013,World,7250593.37,55.601,101.283,27.993,12.19,19.781,2.56,27.779,7.591,71.207,45.597,0.0,96.84,196.763
65,WORLD,,,2014,World,7339013.419,56.279,101.295,28.22,12.052,19.576,2.553,27.854,7.524,71.565,43.935,0.0,94.039,192.907
66,WORLD,,,2015,World,7426597.537,56.951,101.307,28.456,11.677,19.203,2.524,27.989,7.526,71.8,42.626,0.0,91.838,190.002
67,WORLD,,,2016,World,7513474.238,57.617,101.305,28.699,11.584,19.064,2.526,28.131,7.48,72.11,41.167,0.0,89.569,186.921
68,WORLD,,,2017,World,7599822.404,58.279,101.29,28.947,11.271,18.767,2.504,28.174,7.496,72.327,39.841,0.0,87.51,184.066
69,WORLD,,,2018,World,7683789.828,58.923,101.27,29.204,10.709,18.174,2.443,28.209,7.465,72.576,39.097,0.0,85.964,181.199
70,WORLD,,,2019,World,7764951.032,59.546,101.24,29.469,10.309,17.771,2.406,28.236,7.462,72.79,38.316,0.0,84.539,178.64
71,WORLD,,,2020,World,7840952.88,60.128,101.187,29.736,9.179,17.237,2.349,28.226,8.058,72.036,37.645,0.0,83.691,185.65
72,WORLD,,,2021,World,7909295.151,60.653,101.119,29.996,8.184,16.94,2.321,28.213,8.756,71.048,37.117,0.0,86.587,198.763
74,Sub-Saharan Africa,,,1950,SDG region,177491.856,8.118,98.786,17.983,20.631,47.139,6.499,29.705,26.508,37.477,315.772,-0.026,504.732,661.661
75,Sub-Saharan Africa,,,1951,SDG region,181206.691,8.288,98.762,17.971,20.949,47.232,6.507,29.712,26.283,37.728,312.606,-0.14,501.238,658.594
76,Sub-Saharan Africa,,,1952,SDG region,185025.405,8.462,98.742,17.952,21.273,47.252,6.507,29.715,25.979,38.043,308.144,-0.386,496.881,654.989
77,Sub-Saharan Africa,,,1953,SDG region,188925.019,8.641,98.727,17.918,21.715,47.31,6.517,29.717,25.595,38.456,303.391,-0.909,491.09,649.74
78,Sub-Saharan Africa,,,1954,SDG region,192937.718,8.824,98.718,17.873,22.038,47.275,6.522,29.723,25.237,38.842,298.495,-0.841,485.646,645.052
79,Sub-Saharan Africa,,,1955,SDG region,197106.585,9.015,98.715,17.825,22.42,47.273,6.533,29.728,24.853,39.261,293.717,-0.894,479.777,639.634
80,Sub-Saharan Africa,,,1956,SDG region,201431.278,9.213,98.716,17.773,22.768,47.303,6.548,29.724,24.535,39.613,289.258,-0.918,474.834,635.346
81,Sub-Saharan Africa,,,1957,SDG region,205850.721,9.415,98.716,17.718,22.496,47.346,6.564,29.717,24.85,39.276,292.062,-0.964,479.059,640.195
82,Sub-Saharan Africa,,,1958,SDG region,210308.726,9.619,98.718,17.651,22.811,47.363,6.574,29.697,24.552,39.58,287.669,-1.524,474.991,636.789
83,Sub-Saharan Africa,,,1959,SDG region,215031.514,9.835,98.722,17.577,23.768,47.354,6.589,29.676,23.586,40.655,276.38,-0.693,460.532,622.396
84,Sub-Saharan Africa,,,1960,SDG region,220107.337,10.067,98.712,17.511,23.968,47.384,6.602,29.655,23.416,40.832,272.329,-0.412,458.779,621.594
