,Nombre,ISO3,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,AFG,11.521,11.661,11.809,11.958,12.112,12.278,12.456,12.645,12.835,13.042,13.28,13.538,13.813,14.104,14.409,14.732,15.067,15.417,15.783,16.163,16.561,16.966,17.383,17.827,18.281,18.724,19.137,19.54,19.928,20.001,19.231,17.18,15.537,15.327,15.777,16.19,16.092,15.898,15.992,16.438,16.471,16.549,18.57,21.568,23.804,25.287,26.346,27.397,28.482,29.667,30.099,30.323,32.343,34.876,36.276,37.596,39.185,39.894,40.701,42.177,43.416,45.047,46.922,48.578,50.387,51.985,53.344,54.895,56.502,58.17,60.022,61.758
1,Albania,ALB,45.718,47.053,48.432,49.885,51.427,53.06,54.771,56.558,58.434,60.407,62.457,64.57,66.729,68.921,71.137,73.355,75.578,77.832,80.132,82.48,84.85,87.226,89.611,91.993,94.366,96.727,99.042,101.277,103.413,105.437,107.367,109.219,111.0,112.706,114.305,115.765,117.057,118.172,119.097,119.796,120.267,120.523,120.583,120.473,120.228,119.876,119.4,118.758,117.971,117.098,116.141,115.104,114.007,112.891,111.783,110.688,109.621,108.624,107.734,106.962,106.336,105.871,105.562,105.373,105.267,105.208,105.156,105.094,105.008,104.894,104.637,104.194
2,Algeria,DZA,3.787,3.893,3.998,4.103,4.203,4.3,4.397,4.494,4.591,4.688,4.784,4.87,4.945,5.026,5.114,5.198,5.296,5.415,5.538,5.664,5.792,5.924,6.063,6.208,6.362,6.602,6.928,7.194,7.403,7.628,7.868,8.125,8.397,8.684,8.982,9.293,9.607,9.903,10.179,10.45,10.714,10.973,11.231,11.485,11.73,11.957,12.17,12.376,12.564,12.741,12.921,13.1,13.278,13.459,13.65,13.837,14.038,14.268,14.514,14.777,15.055,15.343,15.644,15.955,16.274,16.603,16.937,17.272,17.604,17.93,18.244,18.549
3,American Samoa,ASM,95.162,97.127,97.808,98.35,98.787,99.132,99.51,99.685,99.588,99.415,100.427,103.13,106.36,109.745,113.28,116.955,120.61,124.24,128.042,131.982,135.375,137.968,140.315,142.645,145.06,147.863,150.988,154.077,157.14,160.227,164.428,170.298,176.833,183.675,190.84,198.317,206.102,214.21,222.66,231.44,239.09,244.958,250.387,255.87,261.442,267.005,272.5,277.887,283.015,287.97,291.147,291.62,290.885,289.702,288.127,286.27,284.188,281.913,279.452,276.83,274.248,271.55,268.457,264.975,261.082,256.84,252.24,247.315,242.12,236.602,230.945,225.175
4,Andorra,AND,12.776,12.398,11.603,11.293,11.844,13.013,14.266,15.597,17.009,18.51,20.09,21.735,23.433,25.19,27.0,28.856,30.949,33.499,36.339,39.253,42.256,45.365,48.579,51.901,55.324,58.807,62.327,65.849,69.305,72.643,75.768,78.697,82.123,86.026,89.746,93.212,97.031,101.351,105.648,109.869,113.978,117.946,121.88,125.864,129.866,133.888,136.484,137.621,138.693,139.691,140.633,144.298,150.741,157.25,163.688,169.841,170.682,166.316,161.819,157.132,152.169,150.144,151.09,151.844,152.386,152.65,154.341,157.099,159.603,162.432,165.319,168.157
5,Angola,AGO,3.592,3.665,3.741,3.817,3.891,3.961,4.028,4.094,4.16,4.227,4.297,4.365,4.429,4.492,4.551,4.601,4.642,4.674,4.707,4.755,4.837,4.955,5.105,5.277,5.456,5.641,5.829,6.025,6.234,6.452,6.682,6.923,7.177,7.441,7.715,7.998,8.288,8.578,8.872,9.176,9.488,9.809,10.133,10.458,10.798,11.159,11.537,11.928,12.326,12.73,13.15,13.589,14.05,14.538,15.057,15.602,16.173,16.772,17.399,18.054,18.741,19.459,20.204,20.973,21.76,22.562,23.386,24.231,25.085,25.951,26.814,27.676
6,Anguilla,AIA,57.011,59.585,61.398,62.835,64.301,65.358,65.767,65.824,65.716,65.409,65.364,65.858,66.534,67.193,67.818,68.386,68.983,69.625,70.205,70.79,71.398,71.92,72.341,72.716,73.057,73.438,73.83,74.085,74.267,74.403,74.545,74.67,74.824,75.011,76.04,78.483,81.443,84.494,87.705,91.097,94.5,97.915,100.989,103.653,106.318,109.097,112.074,115.131,118.364,121.835,125.54,128.903,131.369,133.455,135.614,137.818,140.057,142.324,144.665,147.114,149.676,151.608,152.898,155.682,160.46,165.063,168.335,170.625,172.511,174.767,177.102,179.011
7,Antigua and Barbuda,ATG,103.261,105.45,107.634,109.811,112.0,114.235,116.477,118.739,121.051,123.407,125.776,127.83,129.564,131.313,133.327,135.553,137.762,140.039,142.405,144.868,146.631,147.201,147.034,146.507,145.949,145.534,145.433,145.72,146.201,146.838,147.476,147.901,148.251,148.655,148.549,147.836,147.072,146.256,145.414,144.626,143.927,144.623,146.952,149.622,152.436,155.45,158.632,161.858,164.936,167.775,170.58,173.216,175.443,177.442,179.411,181.52,183.853,186.399,189.207,192.122,194.761,197.111,199.259,201.13,202.809,204.41,205.828,207.089,208.24,209.356,210.6,211.863
8,Argentina,ARG,6.096,6.216,6.338,6.459,6.58,6.698,6.817,6.936,7.055,7.173,7.289,7.408,7.529,7.652,7.776,7.899,8.025,8.151,8.279,8.407,8.54,8.677,8.816,8.962,9.116,9.268,9.417,9.569,9.723,9.88,10.038,10.198,10.36,10.523,10.686,10.849,11.014,11.181,11.351,11.521,11.691,11.858,12.024,12.188,12.354,12.517,12.676,12.829,12.978,13.129,13.278,13.425,13.57,13.711,13.851,13.995,14.14,14.283,14.426,14.573,14.722,14.872,15.027,15.183,15.339,15.494,15.642,15.78,15.909,16.027,16.131,16.218
9,Armenia,ARM,48.659,50.028,51.471,52.999,54.628,56.365,58.232,60.235,62.353,64.581,66.897,69.264,71.647,73.993,76.273,78.487,80.646,82.771,84.895,87.0,89.038,91.025,93.031,95.097,97.233,99.452,101.753,104.185,106.739,108.806,110.143,111.294,112.493,113.768,114.956,115.967,116.891,117.74,118.284,121.142,124.949,127.095,125.582,121.464,118.526,116.736,115.897,114.932,113.847,112.635,111.317,110.074,109.086,108.351,107.706,107.056,106.327,105.551,104.814,104.142,103.509,102.901,102.39,101.932,101.529,101.131,100.683,100.194,99.654,99.094,98.567,98.053
