,Nombre,ISO3,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,AFG,7480.461,7571.537,7667.533,7764.546,7864.285,7971.931,8087.727,8210.201,8333.826,8468.211,8622.466,8790.14,8969.047,9157.465,9355.514,9565.147,9783.147,10010.03,10247.78,10494.489,10752.971,11015.857,11286.753,11575.305,11869.879,12157.386,12425.267,12687.301,12938.862,12986.369,12486.631,11155.195,10088.289,9951.449,10243.686,10512.221,10448.442,10322.758,10383.46,10673.168,10694.796,10745.167,12057.433,14003.76,15455.555,16418.912,17106.595,17788.819,18493.132,19262.847,19542.982,19688.632,21000.256,22645.13,23553.551,24411.191,25442.944,25903.301,26427.199,27385.307,28189.672,29249.157,30466.479,31541.209,32716.21,33753.499,34636.207,35643.418,36686.784,37769.499,38972.23,40099.462
1,Albania,ALB,1252.582,1289.168,1326.948,1366.744,1409.005,1453.73,1500.624,1549.571,1600.983,1655.02,1711.189,1769.079,1828.232,1888.302,1949.013,2009.789,2070.689,2132.443,2195.466,2259.799,2324.731,2389.812,2455.171,2520.436,2585.452,2650.122,2713.56,2774.795,2833.314,2888.763,2941.651,2992.389,3041.179,3087.911,3131.726,3171.725,3207.128,3237.676,3263.019,3282.182,3295.066,3302.081,3303.739,3300.711,3293.999,3284.364,3271.331,3253.719,3232.175,3208.26,3182.021,3153.612,3123.551,3092.991,3062.622,3032.634,3003.387,2976.084,2951.689,2930.541,2913.399,2900.654,2892.193,2887.014,2884.102,2882.481,2881.063,2879.355,2877.013,2873.883,2866.849,2854.71
2,Algeria,DZA,9019.866,9271.734,9521.702,9771.686,10011.541,10242.288,10473.168,10703.251,10933.784,11164.443,11394.307,11598.608,11778.26,11969.451,12179.099,12381.256,12613.389,12897.115,13190.975,13491.016,13795.915,14110.271,14439.748,14786.469,15153.602,15724.692,16500.516,17134.192,17632.645,18166.981,18739.378,19351.357,20000.096,20682.111,21393.53,22132.905,22882.553,23586.101,24243.018,24889.507,25518.074,26133.905,26748.303,27354.327,27937.006,28478.022,28984.634,29476.031,29924.668,30346.083,30774.621,31200.985,31624.696,32055.883,32510.186,32956.69,33435.08,33983.827,34569.592,35196.037,35856.344,36543.541,37260.563,38000.626,38760.168,39543.154,40339.329,41136.546,41927.007,42705.368,43451.666,44177.969
3,American Samoa,ASM,19.032,19.425,19.561,19.67,19.758,19.826,19.902,19.937,19.918,19.883,20.085,20.626,21.272,21.949,22.656,23.391,24.122,24.848,25.608,26.396,27.075,27.593,28.063,28.529,29.012,29.573,30.198,30.816,31.428,32.045,32.886,34.059,35.367,36.735,38.168,39.663,41.221,42.842,44.532,46.288,47.818,48.992,50.078,51.174,52.288,53.401,54.5,55.578,56.603,57.594,58.23,58.324,58.177,57.941,57.626,57.254,56.837,56.383,55.891,55.366,54.849,54.31,53.691,52.995,52.217,51.368,50.448,49.463,48.424,47.321,46.189,45.035
4,Andorra,AND,6.005,5.827,5.454,5.308,5.566,6.116,6.705,7.33,7.994,8.7,9.443,10.216,11.014,11.839,12.69,13.563,14.546,15.745,17.079,18.449,19.86,21.322,22.832,24.393,26.003,27.64,29.294,30.949,32.574,34.142,35.611,36.987,38.598,40.432,42.181,43.809,45.605,47.635,49.654,51.639,53.569,55.434,57.283,59.156,61.037,62.928,64.147,64.682,65.186,65.655,66.097,67.82,70.849,73.907,76.933,79.826,80.221,78.168,76.055,73.852,71.519,70.567,71.013,71.367,71.621,71.746,72.54,73.837,75.013,76.343,77.7,79.034
5,Angola,AGO,4478.184,4569.738,4663.958,4758.724,4850.458,4938.118,5022.109,5104.328,5185.839,5269.947,5357.195,5441.333,5521.4,5599.827,5673.199,5736.582,5787.044,5827.503,5868.203,5928.386,6029.7,6177.049,6364.731,6578.23,6802.494,7032.713,7266.78,7511.895,7771.59,8043.218,8330.047,8631.457,8947.152,9276.707,9617.702,9970.621,10332.574,10694.057,11060.261,11439.498,11828.638,12228.691,12632.507,13038.27,13462.031,13912.253,14383.35,14871.146,15366.864,15870.753,16394.062,16941.587,17516.139,18124.342,18771.125,19450.959,20162.34,20909.684,21691.522,22507.674,23364.185,24259.111,25188.292,26147.002,27128.337,28127.721,29154.746,30208.628,31273.533,32353.588,33428.486,34503.774
6,Anguilla,AIA,5.017,5.244,5.403,5.529,5.659,5.752,5.787,5.793,5.783,5.756,5.752,5.795,5.855,5.913,5.968,6.018,6.071,6.127,6.178,6.229,6.283,6.329,6.366,6.399,6.429,6.463,6.497,6.519,6.535,6.548,6.56,6.571,6.585,6.601,6.691,6.907,7.167,7.436,7.718,8.017,8.316,8.617,8.887,9.121,9.356,9.601,9.863,10.132,10.416,10.722,11.047,11.344,11.56,11.744,11.934,12.128,12.325,12.524,12.73,12.946,13.172,13.341,13.455,13.7,14.12,14.525,14.813,15.015,15.181,15.38,15.585,15.753
7,Antigua and Barbuda,ATG,45.435,46.398,47.359,48.317,49.28,50.264,51.25,52.245,53.263,54.299,55.342,56.245,57.008,57.778,58.664,59.644,60.615,61.617,62.658,63.742,64.517,64.769,64.695,64.463,64.218,64.035,63.99,64.117,64.329,64.609,64.889,65.076,65.231,65.408,65.362,65.048,64.712,64.353,63.982,63.636,63.328,63.634,64.659,65.834,67.072,68.398,69.798,71.218,72.572,73.821,75.055,76.215,77.195,78.075,78.941,79.869,80.895,82.016,83.251,84.534,85.695,86.729,87.674,88.497,89.236,89.941,90.564,91.119,91.626,92.117,92.664,93.219
8,Argentina,ARG,17017.742,17354.612,17693.853,18032.74,18369.249,18700.686,19031.192,19363.786,19695.352,20024.524,20349.744,20680.653,21020.359,21364.017,21708.487,22053.661,22403.116,22757.014,23112.971,23472.028,23842.803,24223.379,24612.794,25020.588,25449.754,25875.558,26290.257,26713.78,27146.121,27584.134,28024.803,28471.285,28922.762,29377.137,29832.197,30287.112,30748.326,31216.453,31690.792,32165.766,32637.657,33105.763,33568.285,34027.24,34488.696,34946.11,35389.362,35815.971,36233.195,36653.031,37070.774,37480.493,37885.028,38278.164,38668.796,39070.501,39476.851,39876.111,40273.769,40684.338,41100.123,41520.74,41952.365,42388.269,42824.054,43257.065,43668.241,44054.616,44413.596,44745.52,45036.032,45276.78
9,Armenia,ARM,1385.041,1424.0,1465.061,1508.559,1554.921,1604.376,1657.515,1714.534,1774.816,1838.234,1904.148,1971.53,2039.346,2106.142,2171.029,2234.051,2295.496,2355.997,2416.461,2476.359,2534.377,2590.923,2648.048,2706.852,2767.646,2830.798,2896.311,2965.523,3038.224,3097.058,3135.123,3167.876,3202.011,3238.291,3272.102,3300.896,3327.182,3351.364,3366.838,3448.186,3556.539,3617.631,3574.555,3457.349,3373.713,3322.782,3298.898,3271.418,3240.55,3206.03,3168.523,3133.133,3105.037,3084.102,3065.745,3047.246,3026.486,3004.393,2983.421,2964.296,2946.293,2928.976,2914.421,2901.385,2889.93,2878.595,2865.835,2851.923,2836.557,2820.602,2805.608,2790.974
