,Año,Población,Top,País
0,1950,543979.233,1,China
1,1951,553613.988,1,China
2,1952,564954.522,1,China
3,1953,577378.682,1,China
4,1954,589936.004,1,China
5,1955,603320.147,1,China
6,1956,616283.022,1,China
7,1957,630003.025,1,China
8,1958,643791.581,1,China
9,1959,652179.194,1,China
10,1960,654170.692,1,China
11,1961,655260.38,1,China
12,1962,664614.65,1,China
13,1963,683903.557,1,China
14,1964,704593.772,1,China
15,1965,723846.349,1,China
16,1966,742948.541,1,China
17,1967,761006.26,1,China
18,1968,780371.956,1,China
19,1969,801430.976,1,China
20,1970,822534.45,1,China
21,1971,843285.424,1,China
22,1972,862840.403,1,China
23,1973,881652.08,1,China
24,1974,899367.64,1,China
25,1975,915124.661,1,China
26,1976,929375.924,1,China
27,1977,942581.333,1,China
28,1978,955138.943,1,China
29,1979,968298.969,1,China
30,1980,982372.466,1,China
31,1981,997259.502,1,China
32,1982,1013483.166,1,China
33,1983,1029226.907,1,China
34,1984,1044172.197,1,China
35,1985,1060239.979,1,China
36,1986,1077770.523,1,China
37,1987,1096851.843,1,China
38,1988,1115889.802,1,China
39,1989,1134414.723,1,China
40,1990,1153704.252,1,China
41,1991,1170626.171,1,China
42,1992,1183813.389,1,China
43,1993,1195855.558,1,China
44,1994,1207286.675,1,China
45,1995,1218144.426,1,China
46,1996,1228298.836,1,China
47,1997,1237801.448,1,China
48,1998,1246836.105,1,China
49,1999,1255433.236,1,China
50,2000,1264099.069,1,China
51,2001,1272739.582,1,China
52,2002,1280926.12,1,China
53,2003,1288873.367,1,China
54,2004,1296816.711,1,China
55,2005,1304887.562,1,China
56,2006,1313086.567,1,China
57,2007,1321513.224,1,China
58,2008,1330167.148,1,China
59,2009,1339125.595,1,China
60,2010,1348191.368,1,China
61,2011,1357095.481,1,China
62,2012,1366560.818,1,China
63,2013,1376100.308,1,China
64,2014,1385189.668,1,China
65,2015,1393715.448,1,China
66,2016,1401889.681,1,China
67,2017,1410275.957,1,China
68,2018,1417069.468,1,China
69,2019,1421864.031,1,China
70,2020,1424929.781,1,China
71,2021,1425893.465,1,China
0,1950,357021.1,2,India
1,1951,364922.36,2,India
2,1952,372997.188,2,India
3,1953,381227.705,2,India
4,1954,389731.406,2,India
5,1955,398577.992,2,India
6,1956,407656.597,2,India
7,1957,416935.399,2,India
8,1958,426295.763,2,India
9,1959,435900.352,2,India
10,1960,445954.579,2,India
11,1961,456351.876,2,India
12,1962,467024.193,2,India
13,1963,477933.619,2,India
14,1964,489059.309,2,India
15,1965,500114.346,2,India
16,1966,510992.617,2,India
17,1967,521987.069,2,India
18,1968,533431.909,2,India
19,1969,545314.67,2,India
20,1970,557501.301,2,India
21,1971,569999.178,2,India
22,1972,582837.973,2,India
23,1973,596107.483,2,India
24,1974,609721.951,2,India
25,1975,623524.219,2,India
26,1976,637451.448,2,India
27,1977,651685.628,2,India
28,1978,666267.76,2,India
29,1979,681248.383,2,India
30,1980,696828.385,2,India
31,1981,712869.298,2,India
32,1982,729169.466,2,India
33,1983,745826.546,2,India
34,1984,762895.156,2,India
35,1985,780242.084,2,India
36,1986,797878.993,2,India
37,1987,815716.125,2,India
38,1988,833729.681,2,India
39,1989,852012.673,2,India
40,1990,870452.165,2,India
41,1991,888941.756,2,India
42,1992,907574.049,2,India
43,1993,926351.297,2,India
44,1994,945261.958,2,India
45,1995,964279.129,2,India
46,1996,983281.218,2,India
47,1997,1002335.23,2,India
48,1998,1021434.576,2,India
49,1999,1040500.054,2,India
50,2000,1059633.675,2,India
51,2001,1078970.907,2,India
52,2002,1098313.039,2,India
53,2003,1117415.123,2,India
54,2004,1136264.583,2,India
55,2005,1154638.713,2,India
56,2006,1172373.788,2,India
57,2007,1189691.809,2,India
58,2008,1206734.806,2,India
59,2009,1223640.16,2,India
60,2010,1240613.62,2,India
61,2011,1257621.191,2,India
62,2012,1274487.215,2,India
63,2013,1291132.063,2,India
64,2014,1307246.509,2,India
65,2015,1322866.505,2,India
66,2016,1338636.34,2,India
67,2017,1354195.68,2,India
68,2018,1369003.306,2,India
69,2019,1383112.05,2,India
70,2020,1396387.127,2,India
71,2021,1407563.842,2,India
0,1950,148281.55,3,United States of America
1,1951,150598.453,3,United States of America
2,1952,152941.727,3,United States of America
3,1953,155451.199,3,United States of America
4,1954,158205.873,3,United States of America
5,1955,161136.449,3,United States of America
6,1956,164063.411,3,United States of America
7,1957,166949.12,3,United States of America
8,1958,170147.101,3,United States of America
9,1959,173324.608,3,United States of America
10,1960,176188.578,3,United States of America
11,1961,179087.278,3,United States of America
12,1962,181917.809,3,United States of America
13,1963,184649.873,3,United States of America
14,1964,187277.378,3,United States of America
15,1965,189703.283,3,United States of America
16,1966,191830.975,3,United States of America
17,1967,193782.438,3,United States of America
18,1968,195743.427,3,United States of America
19,1969,197859.329,3,United States of America
20,1970,200328.34,3,United States of America
21,1971,202907.917,3,United States of America
22,1972,205238.39,3,United States of America
23,1973,207314.764,3,United States of America
24,1974,209277.968,3,United States of America
25,1975,211274.535,3,United States of America
26,1976,213270.022,3,United States of America
27,1977,215437.405,3,United States of America
28,1978,217881.437,3,United States of America
29,1979,220463.115,3,United States of America
30,1980,223140.018,3,United States of America
31,1981,225654.008,3,United States of America
32,1982,228001.418,3,United States of America
33,1983,230389.964,3,United States of America
34,1984,232766.28,3,United States of America
35,1985,235146.182,3,United States of America
36,1986,237512.783,3,United States of America
37,1987,239853.168,3,United States of America
38,1988,242287.814,3,United States of America
39,1989,244954.094,3,United States of America
40,1990,248083.732,3,United States of America
41,1991,251560.189,3,United States of America
42,1992,255175.339,3,United States of America
43,1993,258779.753,3,United States of America
44,1994,262273.589,3,United States of America
45,1995,265660.556,3,United States of America
46,1996,268984.347,3,United States of America
47,1997,272395.438,3,United States of America
48,1998,275835.018,3,United States of America
49,1999,279181.581,3,United States of America
50,2000,282398.554,3,United States of America
51,2001,285470.493,3,United States of America
52,2002,288350.252,3,United States of America
53,2003,291109.82,3,United States of America
54,2004,293947.885,3,United States of America
55,2005,296842.67,3,United States of America
56,2006,299753.098,3,United States of America
57,2007,302743.399,3,United States of America
58,2008,305694.91,3,United States of America
